lat,lon,precipitation,runoff,efficiency
-88.7669513528422,0.0,2.6370617e-06,0.0,0.0
-88.7669513528422,0.703125,2.634298e-06,0.0,0.0
-88.7669513528422,1.40625,2.6315333e-06,0.0,0.0
-88.7669513528422,2.109375,2.6287692e-06,0.0,0.0
-88.7669513528422,2.8125,2.6260052e-06,0.0,0.0
-88.7669513528422,3.515625,2.6232412e-06,0.0,0.0
-88.7669513528422,4.21875,2.6204768e-06,0.0,0.0
-88.7669513528422,4.921875,2.6177129e-06,0.0,0.0
-88.7669513528422,5.625,2.614949e-06,0.0,0.0
-88.7669513528422,6.328125,2.6121843e-06,0.0,0.0
-88.7669513528422,7.03125,2.6094203e-06,0.0,0.0
-88.7669513528422,7.734375,2.6066562e-06,0.0,0.0
-88.7669513528422,8.4375,2.603892e-06,0.0,0.0
-88.7669513528422,9.140625,2.601128e-06,0.0,0.0
-88.7669513528422,9.84375,2.5983638e-06,0.0,0.0
-88.7669513528422,10.546875,2.5955992e-06,0.0,0.0
-88.7669513528422,11.25,2.5928355e-06,0.0,0.0
-88.7669513528422,11.953125,2.590071e-06,0.0,0.0
-88.7669513528422,12.65625,2.587307e-06,0.0,0.0
-88.7669513528422,13.359375,2.584543e-06,0.0,0.0
-88.7669513528422,14.0625,2.581779e-06,0.0,0.0
-88.7669513528422,14.765625,2.5800512e-06,0.0,0.0
-88.7669513528422,15.46875,2.5792804e-06,0.0,0.0
-88.7669513528422,16.171875,2.5785102e-06,0.0,0.0
-88.7669513528422,16.875,2.5777395e-06,0.0,0.0
-88.7669513528422,17.578125,2.5769687e-06,0.0,0.0
-88.7669513528422,18.28125,2.576198e-06,0.0,0.0
-88.7669513528422,18.984375,2.5754277e-06,0.0,0.0
-88.7669513528422,19.6875,2.5746565e-06,0.0,0.0
-88.7669513528422,20.390625,2.5738864e-06,0.0,0.0
-88.7669513528422,21.09375,2.5731156e-06,0.0,0.0
-88.7669513528422,21.796875,2.572345e-06,0.0,0.0
-88.7669513528422,22.5,2.5715744e-06,0.0,0.0
-88.7669513528422,23.203125,2.570804e-06,0.0,0.0
-88.7669513528422,23.90625,2.5700333e-06,0.0,0.0
-88.7669513528422,24.609375,2.5692627e-06,0.0,0.0
-88.7669513528422,25.3125,2.5684917e-06,0.0,0.0
